Transaction ID,1,2,3,4,5,6,7,8,9,8
Trans1,Desk Top,Printer,Flash Drive,Microsoft Office,Speakers,Anti-Virus,,,,
Trans2,Lab Top,Flash Drive,Microsoft Office,Lab Top Case,Anti-Virus,,,,,
Trans3,Lab Top,Printer,Flash Drive,Microsoft Office,Anti-Virus,Lab Top Case,External Hard-Drive,,,
Trans4,Lab Top,Printer,Flash Drive,Anti-Virus,External Hard-Drive,Lab Top Case,,,,
Trans5,Lab Top,Flash Drive,Lab Top Case,Anti-Virus,,,,,,
Trans6,Lab Top,Printer,Flash Drive,Microsoft Office,,,,,,
Trans7,Desk Top,Printer,Flash Drive,Microsoft Office,,,,,,
Trans8,Lab Top,External Hard-Drive,Anti-Virus,,,,,,,
Trans9,Desk Top,Printer,Flash Drive,Microsoft Office,Lab Top Case,Anti-Virus,Speakers,External Hard-Drive,,
Trans10,Digital Camera,Lab Top,Desk Top,Printer,Flash Drive,Microsoft Office,Lab Top Case,Anti-Virus,External Hard-Drive,Speakers
Trans11,Lab Top,Desk Top,Lab Top Case,External Hard-Drive,Speakers,Anti-Virus,,,,
Trans12,Digital Camera,Lab Top,Lab Top Case,External Hard-Drive,Anti-Virus,Speakers,,,,
Trans13,Digital Camera,Speakers,,,,,,,,
Trans14,Digital Camera,Desk Top,Printer,Flash Drive,Microsoft Office,,,,,
Trans15,Printer,Flash Drive,Microsoft Office,Anti-Virus,Lab Top Case,Speakers,External Hard-Drive,,,
Trans16,Digital Camera,Flash Drive,Microsoft Office,Anti-Virus,Lab Top Case,External Hard-Drive,Speakers,,,
Trans17,Digital Camera,Lab Top,Lab Top Case,,,,,,,
Trans18,Digital Camera,Lab Top Case,Speakers,,,,,,,
Trans19,Digital Camera,Lab Top,Printer,Flash Drive,Microsoft Office,Speakers,Lab Top Case,Anti-Virus,,
Trans20,Digital Camera,Lab Top,Speakers,Anti-Virus,Lab Top Case,,,,,
